family	bosnian_form	hr_form	sr_form	rate_bs	rate_hr	rate_sr	share_vs_hr	share_vs_sr	assoc_hr	assoc_sr	n_aligned_hr	n_aligned_sr	mined_hr	mined_sr
odjel	odjel		odeljenje	32.59	34.89	0.00	0.4830	1.0000		0.452	0	84		bs->alt
odjel	odjela		odeljenja	51.60	57.48	0.00	0.4730	1.0000		0.594	0	133		bs->alt
odjel	odjelu		odeljenju	12.41	14.27	0.00	0.4652	1.0000		0.531	0	32		bs->alt
odjeću	odjeću		odeću	10.86	13.48	0.00	0.4463	1.0000		0.607	0	28		bs->alt
oficir	oficir	časnik		12.41	0.00	12.12	1.0000	0.5060	0.906		32	0	bs->alt	
oficir	oficira	časnika		25.60	0.00	28.15	1.0000	0.4763	0.894		66	0	bs->alt	
oktobar	oktobar	listopada		182.72	0.00	85.63	1.0000	0.6809	0.873		471	0	bs->alt	
oktobar	oktobra	listopada		296.00	0.00	395.72	1.0000	0.4279	0.904		763	0	bs->alt	
oktobar	oktobru	listopadu		108.62	0.00	109.10	1.0000	0.4989	0.939		280	0	bs->alt	
olli	olli		oli	81.86	93.16	0.00	0.4677	1.0000		0.991	0	211		bs->alt
ollijem	ollijem		olijem	10.47	8.33	0.00	0.5572	1.0000		1.000	0	27		bs->alt
omladine	omladine	mladeži		25.22	0.00	13.69	1.0000	0.6482	0.492		65	0	bs->alt	
omladine	omladinu	mladež		10.09	0.00	8.60	1.0000	0.5397	0.462		26	0	bs->alt	
omogućit	omogućit		omogućiće	16.29	22.20	0.00	0.4233	1.0000		0.690	0	42		bs->alt
operiraju	operiraju		deluju	9.31	0.00	0.00	1.0000	1.0000		0.750	0	24		bs->alt
opoziciona	opoziciona	oporbena		56.25	0.00	59.44	1.0000	0.4862	0.759		145	0	bs->alt	
opoziciona	opozicione	oporbene		106.30	0.00	114.96	1.0000	0.4804	0.777		274	0	bs->alt	
opoziciona	opozicioni	oporbeni		41.90	0.00	36.37	1.0000	0.5353	0.639		108	0	bs->alt	
opoziciona	opozicionih	oporbenih		23.66	0.00	22.29	1.0000	0.5150	0.705		61	0	bs->alt	
opoziciona	opozicionog	oporbenog		12.41	0.00	9.78	1.0000	0.5595	0.500		32	0	bs->alt	
opredijeljena	opredijeljena	predana		20.56	0.00	0.00	1.0000	1.0000	0.679		53	0	bs->alt	
opredijeljena	opredijeljenost	predanost		28.32	0.00	0.00	1.0000	1.0000	0.849		73	0	bs->alt	
opredijeljena	opredijeljenosti	predanosti		11.25	0.00	0.00	1.0000	1.0000	0.621		29	0	bs->alt	
opskrba	opskrba		snabdevanje	10.09	15.86	0.00	0.3888	1.0000		0.615	0	26		bs->alt
opskrba	opskrbe		snabdevanja	27.54	44.00	0.00	0.3850	1.0000		0.479	0	71		bs->alt
opskrba	opskrbu		snabdevanje	19.01	31.71	0.00	0.3748	1.0000		0.469	0	49		bs->alt
optimista	optimista	optimist		18.62	0.00	19.16	1.0000	0.4929	0.688		48	0	bs->alt	
opći	opći		opšti	29.87	30.92	0.00	0.4914	1.0000		0.675	0	77		bs->alt
općih	općih		opštih	25.99	40.83	0.00	0.3890	1.0000		0.836	0	67		bs->alt
općim	općim		opštim	27.54	30.53	0.00	0.4743	1.0000		0.662	0	71		bs->alt
općina	općina		opština	96.99	91.58	0.00	0.5143	1.0000		0.864	0	250		bs->alt
općina	općinama		opštinama	21.72	30.92	0.00	0.4127	1.0000		0.946	0	56		bs->alt
općina	općine		opštine	72.54	69.38	0.00	0.5112	1.0000		0.850	0	187		bs->alt
općina	općini		opštini	29.87	34.09	0.00	0.4670	1.0000		0.922	0	77		bs->alt
općina	općinske		opštinske	19.01	15.46	0.00	0.5515	1.0000		0.551	0	49		bs->alt
općina	općinskih		opštinskih	13.19	8.72	0.00	0.6020	1.0000		0.647	0	34		bs->alt
organizira	organizira		organizuje	30.65	33.30	0.00	0.4793	1.0000		0.658	0	79		bs->alt
organizira	organiziraju		organizuju	17.46	18.63	0.00	0.4837	1.0000		0.644	0	45		bs->alt
organizira	organizirala		organizovala	31.81	41.63	0.00	0.4332	1.0000		0.768	0	82		bs->alt
organizira	organizirale		organizovale	8.92	7.53	0.00	0.5422	1.0000		0.565	0	23		bs->alt
organizira	organizirali		organizovali	31.04	45.99	0.00	0.4029	1.0000		0.838	0	80		bs->alt
organizira	organiziralo		organizovalo	13.58	15.86	0.00	0.4613	1.0000		0.600	0	35		bs->alt
organizira	organizirani		organizovani	60.91	68.58	0.00	0.4704	1.0000		0.854	0	157		bs->alt
organizira	organiziranim		organizovanim	12.41	26.16	0.00	0.3218	1.0000		0.938	0	32		bs->alt
organizira	organiziranog		organizovanog	178.06	172.45	0.00	0.5080	1.0000		0.867	0	459		bs->alt
organizira	organizirao		organizovao	31.42	33.70	0.00	0.4825	1.0000		0.728	0	81		bs->alt
osce	osce		oebs	122.59	9.12	1.17	0.9308	0.9905		0.994	0	313		bs->alt
osjeća	osjeća		oseća	23.66	27.35	0.00	0.4638	1.0000		0.705	0	61		bs->alt
osjeća	osjećaj		osećaj	34.91	33.30	0.00	0.5118	1.0000		0.678	0	90		bs->alt
osjeća	osjećaju		osećaju	32.59	37.66	0.00	0.4639	1.0000		0.679	0	84		bs->alt
osjeća	osjećam		osećam	12.80	14.67	0.00	0.4660	1.0000		0.727	0	33		bs->alt
osnovu	osnovu	temelju		210.65	4.36	222.88	0.9797	0.4859	0.403		539	0	bs->alt	
ostat	ostat		ostaće	11.25	26.56	0.00	0.2975	1.0000		0.655	0	29		bs->alt
otcjepljenje	otcjepljenje		otcepljenje	13.58	0.79	0.00	0.9448	1.0000		0.520	0	25		alt->bs
otvorit	otvorit		otvoriće	15.52	18.24	0.00	0.4597	1.0000		0.575	0	40		bs->alt
ovdje	ovdje		ovde	122.98	137.17	0.00	0.4727	1.0000		0.807	0	316		bs->alt
ovlasti	ovlasti		ovlašćenja	74.48	91.18	0.00	0.4496	1.0000		0.615	0	192		bs->alt
pacolli	pacolli		pacoli	8.53	10.31	0.00	0.4530	1.0000		1.000	0	22		bs->alt
papaconstantinou	papaconstantinou		papakonstantinu	9.31	9.91	0.00	0.4844	1.0000		1.000	0	24		bs->alt
papadopoulos	papadopoulos		papadopulos	15.13	15.46	0.00	0.4946	1.0000		0.974	0	39		bs->alt
papandreou	papandreou		papandreu	89.23	96.73	1.17	0.4798	0.9870		0.956	0	227		bs->alt
papandreou	papandreoua		papandreua	22.89	20.22	0.39	0.5310	0.9832		0.862	0	58		bs->alt
papoulias	papoulias		papuljas	24.44	25.77	0.00	0.4868	1.0000		0.952	0	63		bs->alt
pasoš	pasoš	putovnicu		12.41	0.00	13.29	1.0000	0.4829	0.562		32	0	bs->alt	
pasoš	pasoša	putovnica		27.54	0.00	25.03	1.0000	0.5240	0.620		71	0	bs->alt	
pasoš	pasoše	putovnice		19.01	0.00	21.51	1.0000	0.4692	0.776		49	0	bs->alt	
pasoš	pasoši	putovnice		10.09	0.00	12.12	1.0000	0.4542	0.885		26	0	bs->alt	
penzija	penzija	mirovina		37.63	0.00	34.41	1.0000	0.5223	0.784		97	0	bs->alt	
penzija	penzije	mirovine		44.61	0.00	47.71	1.0000	0.4833	0.704		115	0	bs->alt	
penzija	penzioner	umirovljenik		10.09	0.00	10.95	1.0000	0.4795	0.923		26	0	bs->alt	
penzija	penzioneri	umirovljenici		11.25	0.00	11.73	1.0000	0.4895	0.966		29	0	bs->alt	
penzionisani	penzionisani	umirovljeni		13.58	0.00	15.25	1.0000	0.4710	0.829		35	0	bs->alt	
penzija	penzionog	mirovinskog		11.25	0.00	3.91	1.0000	0.7421	0.759		29	0	bs->alt	
period	period	razdoblje		126.86	0.00	107.53	1.0000	0.5412	0.486		327	0	bs->alt	
period	periodom	razdobljem		8.53	0.00	19.16	1.0000	0.3082	0.545		22	0	bs->alt	
period	periodu	razdoblju		235.09	0.00	142.33	1.0000	0.6229	0.404		406	0	alt->bs	
pjesama	pjesama		pesama	9.70	10.70	0.00	0.4754	1.0000		0.680	0	25		bs->alt
pjesma	pjesma		pesma	17.07	20.22	0.00	0.4578	1.0000		0.909	0	44		bs->alt
pjesma	pjesme		pesme	31.81	30.13	0.00	0.5136	1.0000		0.720	0	82		bs->alt
pjesma	pjesmom		pesmom	14.35	12.69	0.00	0.5308	1.0000		0.784	0	37		bs->alt
pjesma	pjesmu		pesmu	34.91	39.64	0.00	0.4683	1.0000		0.722	0	90		bs->alt
pjesnik	pjesnik		pesnik	10.09	9.91	0.00	0.5044	1.0000		0.962	0	26		bs->alt
pjesnik	pjesnika		pesnika	12.80	13.48	0.00	0.4871	1.0000		0.848	0	33		bs->alt
pjevač	pjevač		pevač	22.50	23.79	0.00	0.4861	1.0000		0.897	0	58		bs->alt
pjevač	pjevača		pevača	16.68	15.46	0.00	0.5190	1.0000		0.767	0	43		bs->alt
pjevač	pjevačica		pevačica	16.68	17.05	0.00	0.4946	1.0000		0.907	0	43		bs->alt
plaćama	plaćama		platama	11.25	13.88	0.00	0.4478	1.0000		0.517	0	29		bs->alt
pobijedi	pobijedi		pobedi	16.29	9.51	0.00	0.6313	1.0000		0.714	0	42		bs->alt
pobijedi	pobijedila		pobedila	81.47	79.29	0.00	0.5068	1.0000		0.643	0	210		bs->alt
pobijedi	pobijedili		pobedili	15.91	16.65	0.00	0.4886	1.0000		0.537	0	41		bs->alt
pobijedi	pobijedio		pobedio	90.00	87.61	0.00	0.5067	1.0000		0.608	0	232		bs->alt
pobijedi	pobijediti		pobediti	28.71	23.79	0.00	0.5469	1.0000		0.486	0	74		bs->alt
pobijedi	pobijedivši		pobedivši	10.09	29.34	0.00	0.2559	1.0000		0.769	0	26		bs->alt
pobjede	pobjede		pobede	48.10	46.78	0.39	0.5070	0.9919		0.667	0	123		bs->alt
pobjede	pobjednik		pobednik	28.32	32.90	0.00	0.4626	1.0000		0.726	0	73		bs->alt
pobjede	pobjednika		pobednika	16.29	17.44	0.00	0.4830	1.0000		0.738	0	42		bs->alt
pobjede	pobjedom		pobedom	14.74	19.82	0.39	0.4265	0.9742		0.649	0	37		bs->alt
pobjede	pobjedu		pobedu	88.45	106.24	0.39	0.4543	0.9956		0.743	0	226		bs->alt
pobjede	pobjegao		pobegao	14.74	15.06	0.00	0.4946	1.0000		0.816	0	38		bs->alt
pobjede	pobjegli		pobegli	9.70	9.91	0.00	0.4946	1.0000		0.800	0	25		bs->alt
pobjede	pobjeći		pobegne	14.35	13.88	0.00	0.5085	1.0000		0.405	0	37		bs->alt
podijeljen	podijeljen		podeljen	15.52	16.65	0.00	0.4824	1.0000		0.700	0	40		bs->alt
podijeljen	podijeljena		podeljena	27.93	30.92	0.00	0.4746	1.0000		0.847	0	72		bs->alt
podijeljen	podijeljene		podeljene	8.92	7.93	0.00	0.5295	1.0000		0.478	0	23		bs->alt
podijeljen	podijeljeni		podeljeni	18.62	24.58	0.00	0.4310	1.0000		0.792	0	48		bs->alt
podijeljen	podijeljeno		podeljeno	12.41	11.50	0.00	0.5192	1.0000		0.719	0	32		bs->alt
podijeljen	podijeljenog		podeljenog	25.60	23.79	0.00	0.5184	1.0000		0.909	0	66		bs->alt
podijeljen	podijeljenom		podeljenom	20.56	21.80	0.00	0.4853	1.0000		0.811	0	53		bs->alt
podjela	podjela		podela	34.53	33.70	0.00	0.5061	1.0000		0.730	0	89		bs->alt
podjela	podjele		podele	65.17	70.17	0.00	0.4815	1.0000		0.667	0	168		bs->alt
podjela	podjeli		podeli	19.01	19.82	0.00	0.4895	1.0000		0.673	0	49		bs->alt
podjela	podjelu		podelu	30.26	27.75	0.00	0.5216	1.0000		0.526	0	78		bs->alt
podnio	podnijela		podnela	20.95	49.55	0.00	0.2971	1.0000		0.815	0	54		bs->alt
podnio	podnijeli		podneli	12.41	32.51	0.00	0.2763	1.0000		0.625	0	32		bs->alt
podnio	podnio		podneo	43.06	95.14	0.00	0.3116	1.0000		0.874	0	111		bs->alt
podsekretar	podsekretar	podtajnik		10.86	0.00	10.56	1.0000	0.5071	0.893		28	0	bs->alt	
podsjeća	podsjetio		podsetio	13.19	15.06	0.00	0.4668	1.0000		0.882	0	34		bs->alt
podsjeća	podsjeća		podseća	9.31	16.25	0.00	0.3642	1.0000		0.792	0	24		bs->alt
poduzele	poduzele		preduzele	10.47	10.70	0.00	0.4946	1.0000		0.556	0	27		bs->alt
poduzele	poduzimaju		preduzimaju	15.13	15.86	0.00	0.4883	1.0000		0.667	0	39		bs->alt
polovini	polovini	polovici		33.36	0.00	41.06	1.0000	0.4483	0.849		86	0	bs->alt	
ponedjeljak	ponedjeljak		ponedeljak	877.13	902.68	0.00	0.4928	1.0000		0.982	0	2261		bs->alt
ponedjeljak	ponedjeljka		ponedeljka	58.58	44.80	0.00	0.5667	1.0000		0.642	0	151		bs->alt
poor	poor		purs	19.01	20.22	0.39	0.4846	0.9798		0.958	0	48		bs->alt
popescu	popescu		popesku	26.38	31.32	0.00	0.4572	1.0000		1.000	0	68		bs->alt
poređenju	poređenju	usporedbi		50.43	0.00	118.48	1.0000	0.2986	0.746		130	0	bs->alt	
porijeklom	porijeklom		poreklom	12.80	3.96	0.00	0.7636	1.0000		0.485	0	33		bs->alt
porodica	porodica	obitelj		91.17	0.00	100.10	1.0000	0.4766	0.553		235	0	bs->alt	
porodica	porodicama	obiteljima		31.04	0.00	32.46	1.0000	0.4888	0.812		80	0	bs->alt	
porodica	porodice	obitelji		131.51	0.40	137.25	0.9970	0.4893	0.876		338	0	bs->alt	
porodica	porodici	obitelji		57.80	0.00	62.17	1.0000	0.4818	0.826		149	0	bs->alt	
porodica	porodicom	obitelji		14.35	0.00	14.47	1.0000	0.4980	0.865		37	0	bs->alt	
porodica	porodicu	obitelj		36.47	0.00	32.85	1.0000	0.5261	0.734		94	0	bs->alt	
posjeta	posjeta		poseta	100.48	256.49	0.00	0.2815	1.0000		0.822	0	259		bs->alt
posjeta	posjete		posete	242.85	19.43	0.00	0.9259	1.0000		0.895	0	626		bs->alt
posjeta	posjeti		poseti	120.26	16.25	0.00	0.8809	1.0000		0.594	0	310		bs->alt
posjeta	posjetila		posetila	24.44	19.03	0.00	0.5622	1.0000		0.841	0	63		bs->alt
posjetilaca	posjetilaca	posjetitelja	posetilaca	52.76	0.40	0.00	0.9925	1.0000	0.733	0.684	135	136	bs->alt	bs->alt
posjeta	posjetili		posetili	27.54	29.73	0.00	0.4809	1.0000		0.803	0	71		bs->alt
posjeta	posjetilo		posetilo	13.19	26.96	0.00	0.3285	1.0000		0.853	0	34		bs->alt
posjeta	posjetio		posetio	115.99	155.40	0.00	0.4274	1.0000		0.906	0	299		bs->alt
posjeta	posjetioce	posjetitelje	posetioce	17.85	0.00	0.00	1.0000	1.0000	0.696	0.674	46	46	bs->alt	bs->alt
posjeta	posjetioci	posjetitelji	posetioci	42.29	0.00	0.00	1.0000	1.0000	0.826	0.780	109	109	bs->alt	bs->alt
posjetilaca	posjetiocima	posjetiteljima	posetiocima	13.58	0.00	0.00	1.0000	1.0000	0.629	0.543	35	35	bs->alt	bs->alt
posjeta	posjetit		posetiće	8.92	21.01	0.00	0.2981	1.0000		0.826	0	23		bs->alt
posjeta	posjetiti		posetiti	53.15	53.91	0.00	0.4964	1.0000		0.409	0	137		bs->alt
posjeta	posjetu		posetu	173.80	116.95	0.00	0.5978	1.0000		0.635	0	447		bs->alt
posjeta	posjećuju		posećuju	12.41	19.43	0.00	0.3899	1.0000		0.719	0	32		bs->alt
poslanici	poslanici	zastupnici		42.29	0.00	67.26	1.0000	0.3860	0.826		109	0	bs->alt	
poslije	poslije		posle	20.17	51.14	0.00	0.2829	1.0000		0.615	0	52		bs->alt
posljedice	posljedicama		posledicama	14.35	21.41	0.00	0.4014	1.0000		0.486	0	37		bs->alt
posljedice	posljedice		posledice	73.32	109.42	0.00	0.4012	1.0000		0.587	0	189		bs->alt
posmatrača	posmatrača	promatrača		27.93	0.00	30.11	1.0000	0.4812	0.847		72	0	bs->alt	
posmatrača	posmatrači	promatrači		61.29	0.00	57.48	1.0000	0.5161	0.943		158	0	bs->alt	
postotak	postotak		odsto	24.44	44.00	0.00	0.3571	1.0000		0.413	0	63		bs->alt
potpredsjednika	potpredsjednika		potpredsednika	18.62	36.47	0.00	0.3380	1.0000		0.854	0	48		bs->alt
povjerenja	povjerenica		komesarka	19.40	18.63	0.00	0.5101	1.0000		0.680	0	50		bs->alt
povjerenja	povjerenikom		komesarom	15.91	15.86	0.00	0.5008	1.0000		0.902	0	41		bs->alt
povjerenja	povjerenja		poverenja	72.93	68.98	0.00	0.5139	1.0000		0.670	0	188		bs->alt
povjerenja	povjerenje		poverenje	66.34	67.79	0.00	0.4946	1.0000		0.830	0	171		bs->alt
povrijeđen	povrijeđen	ozlijeđen	povređen	8.53	0.00	0.00	1.0000	1.0000	0.818	0.773	22	22	bs->alt	bs->alt
povrijeđen	povrijeđenih	ozlijeđenih	povređenih	13.97	0.00	0.00	1.0000	1.0000	0.611	0.639	36	36	bs->alt	bs->alt
povrijeđen	povrijeđeno		povređeno	29.87	0.40	0.00	0.9869	1.0000		0.805	0	77		bs->alt
pozorišne	pozorišne	kazališne		11.25	0.00	17.99	1.0000	0.3848	0.759		29	0	bs->alt	
pozorišne	pozorišni	kazališni		8.92	0.00	10.95	1.0000	0.4490	0.609		23	0	bs->alt	
pozorišne	pozorišnih	kazališnih		8.53	0.00	11.73	1.0000	0.4211	0.955		22	0	bs->alt	
pozorišne	pozorišta	kazališta		17.07	0.00	28.15	1.0000	0.3774	0.864		44	0	bs->alt	
pozorišne	pozorište	kazalište		15.13	0.00	21.51	1.0000	0.4130	0.744		39	0	bs->alt	
pozorišne	pozorištu	kazalištu		8.15	0.00	13.29	1.0000	0.3800	0.762		21	0	bs->alt	
počet	počet		počeće	21.34	7.93	0.00	0.7291	1.0000		0.782	0	55		bs->alt
predsjedava	predsjedava		predsedavajući	39.18	8.72	0.00	0.8179	1.0000		0.604	0	101		bs->alt
predsjedavajuća	predsjedavajuća		predsedavajući	41.51	5.55	0.00	0.8821	1.0000		0.467	0	107		bs->alt
predsjedavajuća	predsjedavajuće		predsedavajućeg	15.13	1.19	0.00	0.9271	1.0000		0.436	0	39		bs->alt
predsjedavajuća	predsjedavajućim		predsednikom	16.68	3.96	0.00	0.8080	1.0000		0.837	0	43		bs->alt
predsjedava	predsjedavanja		predsedavanja	39.57	12.69	0.00	0.7572	1.0000		0.490	0	102		bs->alt
predsjedava	predsjedavanje		predsedavanje	59.35	22.20	0.00	0.7278	1.0000		0.595	0	153		bs->alt
predsjedava	predsjedavao		predsedavao	13.97	5.95	0.00	0.7014	1.0000		0.889	0	36		bs->alt
predsjedava	predsjednica		predsednica	45.39	68.58	0.00	0.3982	1.0000		0.906	0	117		bs->alt
predsjedava	predsjednici		predsednici	27.16	32.11	0.00	0.4582	1.0000		0.914	0	70		bs->alt
predsjedava	predsjednik		predsednik	1118.43	1245.20	0.00	0.4732	1.0000		0.958	0	2883		bs->alt
predsjedava	predsjednika		predsednika	435.66	491.97	0.00	0.4696	1.0000		0.837	0	1123		bs->alt
predsjedava	predsjednikom		predsednikom	193.19	206.15	0.00	0.4838	1.0000		0.966	0	498		bs->alt
predsjedava	predsjedniku		predsedniku	44.61	49.95	0.00	0.4718	1.0000		0.861	0	115		bs->alt
predsjedava	predsjedničke		predsedničke	31.04	26.16	0.00	0.5426	1.0000		0.562	0	80		bs->alt
predsjedava	predsjednički		predsednički	26.77	22.60	0.00	0.5422	1.0000		0.623	0	69		bs->alt
predsjedava	predsjedničkih		predsedničkih	36.08	44.00	0.00	0.4505	1.0000		0.828	0	93		bs->alt
predsjedava	predsjedničkim		predsedničkim	22.11	21.41	0.00	0.5081	1.0000		0.772	0	57		bs->alt
predsjedava	predsjedničkog		predsedničkog	10.09	10.70	0.00	0.4852	1.0000		0.538	0	26		bs->alt
predsjedava	predsjedništva		predsedništva	110.56	149.85	0.00	0.4246	1.0000		0.930	0	285		bs->alt
predsjedava	predsjedništvo		predsedništvo	19.40	34.89	0.00	0.3573	1.0000		0.820	0	50		bs->alt
predsjedava	predstavljat		predstavljaće	23.28	23.39	0.00	0.4988	1.0000		0.583	0	60		bs->alt
preduslov	preduslov	preduvjet		30.65	0.00	29.72	1.0000	0.5077	0.823		79	0	bs->alt	
preduslov	preduslova	preduvjeta		8.15	0.00	6.26	1.0000	0.5656	0.810		21	0	bs->alt	
predvidio	predvidio		predvideo	13.97	5.95	0.00	0.7014	1.0000		0.750	0	36		bs->alt
prenio	prenio		preneo	10.86	48.36	0.00	0.1834	1.0000		0.536	0	28		bs->alt
pres	pres	tiskovnoj		137.33	0.40	24.63	0.9971	0.8479	0.754		353	0	bs->alt	
pretrpio	pretrpio		pretrpeo	12.80	10.31	0.00	0.5540	1.0000		0.515	0	33		bs->alt
pretrpio	pretrpjela		pretrpela	15.91	8.72	0.00	0.6459	1.0000		0.538	0	26		alt->bs
pretrpio	pretrpjeli		pretrpeli	9.70	9.12	0.00	0.5154	1.0000		0.400	0	25		bs->alt
prevazilaženje	prevazilaženje	nadvladavanje		10.09	0.00	16.42	1.0000	0.3805	0.615		26	0	bs->alt	
prevazilaženje	prevazilaženju	nadvladavanju		10.47	0.00	5.47	1.0000	0.6568	0.593		27	0	bs->alt	
preživjeli	preživjeli		preživeli	10.47	7.93	0.00	0.5692	1.0000		0.630	0	27		bs->alt
prije	prije		pre	882.56	1004.56	0.00	0.4677	1.0000		0.875	0	2275		bs->alt
prijedlog	prijedlog		predlog	186.21	172.45	0.00	0.5192	1.0000		0.710	0	480		bs->alt
prijedlog	prijedloga		predloga	60.52	63.83	0.00	0.4867	1.0000		0.654	0	156		bs->alt
prijedlog	prijedloge		predloge	27.93	27.75	0.00	0.5016	1.0000		0.708	0	72		bs->alt
prijedlog	prijedlogom		predlogom	20.95	17.44	0.00	0.5457	1.0000		0.463	0	54		bs->alt
prijedlog	prijedlogu		predlogu	43.45	37.66	0.00	0.5357	1.0000		0.652	0	112		bs->alt
prijedlog	prijedlozi		predlozi	14.35	14.67	0.00	0.4946	1.0000		0.568	0	37		bs->alt
prijedlog	prijedlozima		predlozima	10.09	9.51	0.00	0.5146	1.0000		0.615	0	26		bs->alt
prijedlog	prijelaza		prelaza	46.16	55.90	0.00	0.4523	1.0000		0.765	0	119		bs->alt
prijedlog	prijelazima		prelazima	20.56	33.70	0.00	0.3789	1.0000		0.943	0	53		bs->alt
prijedlog	prijelazu		prelazu	20.56	29.73	0.00	0.4088	1.0000		0.849	0	53		bs->alt
prije	prijemu	prijamu		9.31	0.00	53.18	1.0000	0.1490	0.417		24	0	bs->alt	
prijestolnica	prijestolnica		prestonica	12.03	9.91	0.00	0.5482	1.0000		0.774	0	31		bs->alt
prijestolnica	prijestolnice		prestonice	19.40	3.17	0.00	0.8595	1.0000		0.600	0	50		bs->alt
prijestolnica	prijestolnici		prestonici	18.62	5.15	0.00	0.7832	1.0000		0.708	0	48		bs->alt
prije	prijete		prete	14.35	15.06	0.00	0.4879	1.0000		0.703	0	37		bs->alt
prije	prijeti		preti	30.26	26.96	0.00	0.5289	1.0000		0.641	0	78		bs->alt
prijedlog	prijetnja		pretnja	26.77	36.47	0.00	0.4233	1.0000		0.406	0	69		bs->alt
prijedlog	prijetnjama		pretnjama	13.58	15.06	0.00	0.4740	1.0000		0.571	0	35		bs->alt
prijedlog	prijetnje		pretnje	72.16	63.03	0.00	0.5337	1.0000		0.618	0	186		bs->alt
prijedlog	prijetnji		pretnji	30.26	33.70	0.00	0.4731	1.0000		0.654	0	78		bs->alt
prijedlog	prijetnjom		pretnjom	22.89	17.84	0.00	0.5620	1.0000		0.458	0	59		bs->alt
prijedlog	prijetnju		pretnju	62.46	54.31	0.00	0.5349	1.0000		0.547	0	161		bs->alt
prije	prijevoz		prevoz	17.85	22.20	0.00	0.4456	1.0000		0.543	0	46		bs->alt
prijedlog	prijevoznik		avioprevoznik	15.91	10.31	0.00	0.6068	1.0000		0.488	0	41		bs->alt
prijedlog	prijevremene		prevremene	30.65	17.05	0.00	0.6426	1.0000		0.765	0	34		alt->bs
prijedlog	prijevremeni		prevremeni	15.91	10.70	0.00	0.5977	1.0000		0.464	0	28		alt->bs
prijestolnica	prijevremenih		prevremenih	20.56	13.08	0.00	0.6111	1.0000		0.455	0	22		alt->bs
priliv	priliv	priljev		30.65	0.00	25.03	1.0000	0.5505	0.582		79	0	bs->alt	
priliv	priliva	priljeva		13.97	0.00	10.56	1.0000	0.5695	0.611		36	0	bs->alt	
primijetili	primijetili		primetili	8.92	5.95	0.00	0.6001	1.0000		0.696	0	23		bs->alt
primjenjuje	primjenjuje		primenjuje	13.19	13.08	0.00	0.5020	1.0000		0.618	0	34		bs->alt
primjenjuje	primjenjuju		primenjuju	9.31	7.53	0.00	0.5528	1.0000		0.417	0	24		bs->alt
primjer	primjer		primer	187.76	106.24	0.00	0.6386	1.0000		0.882	0	484		bs->alt
primjer	primjera		primera	10.86	15.46	0.00	0.4127	1.0000		0.536	0	28		bs->alt
princip	princip	načelo		27.54	0.79	23.85	0.9720	0.5359	0.739		69	0	bs->alt	
princip	principa	načela		35.69	0.40	35.19	0.9890	0.5035	0.848		92	0	bs->alt	
princip	principima	načelima		26.38	0.00	27.37	1.0000	0.4908	0.853		68	0	bs->alt	
prisjeća	prisjeća		seća	12.41	7.93	0.00	0.6102	1.0000		0.438	0	32		bs->alt
pristalica	pristalica	pristaša		30.65	0.79	32.85	0.9748	0.4827	0.709		79	0	bs->alt	
pristalica	pristalicama	pristašama		15.91	0.00	13.29	1.0000	0.5447	0.683		41	0	bs->alt	
prisustvuje	prisustvuje	nazoči		14.74	0.40	22.29	0.9738	0.3981	0.474		38	0	bs->alt	
procjena	procjena		procena	15.91	32.51	0.00	0.3285	1.0000		0.537	0	41		bs->alt
procjena	procjenama		procenama	21.34	15.86	0.00	0.5737	1.0000		0.418	0	55		bs->alt
procjena	procjene		procene	29.10	50.35	0.00	0.3662	1.0000		0.587	0	75		bs->alt
procjena	procjenjuje		procenjuje	116.77	72.15	0.00	0.6181	1.0000		0.422	0	301		bs->alt
procjena	procjenjuju		procenjuju	18.62	27.75	0.00	0.4016	1.0000		0.688	0	48		bs->alt
procjena	procjenu		procenu	19.01	41.63	0.00	0.3135	1.0000		0.510	0	49		bs->alt
prodavnica	prodavnica	prodavaonica		19.40	0.00	26.20	1.0000	0.4254	0.540		50	0	bs->alt	
prodavnica	prodavnice	prodavaonice		21.72	0.00	33.63	1.0000	0.3925	0.429		56	0	bs->alt	
proevropske	proevropske	proeuropske		8.15	0.00	9.38	1.0000	0.4647	0.762		21	0	bs->alt	
profesorica	profesorica		profesorka	11.25	13.88	0.00	0.4478	1.0000		0.828	0	29		bs->alt
proljeća	proljeća		proleća	20.17	27.35	0.00	0.4245	1.0000		0.885	0	52		bs->alt
proljeća	proljeće		proleće	28.71	23.39	0.00	0.5510	1.0000		0.770	0	74		bs->alt
promijeni	promijeni		promeni	12.41	18.24	0.00	0.4050	1.0000		0.750	0	32		bs->alt
promijeni	promijenila		promenila	17.07	24.98	0.00	0.4060	1.0000		0.750	0	44		bs->alt
promijeni	promijenilo		promenilo	17.46	22.20	0.00	0.4402	1.0000		0.844	0	45		bs->alt
promijeni	promijenio		promenio	10.86	18.63	0.00	0.3683	1.0000		0.893	0	28		bs->alt
promijeni	promijeniti		promeniti	45.00	93.95	0.00	0.3239	1.0000		0.455	0	101		alt->bs
promjena	promjena		promena	101.64	113.38	0.00	0.4727	1.0000		0.576	0	262		bs->alt
promjena	promjenama		promenama	39.96	41.23	0.00	0.4922	1.0000		0.524	0	103		bs->alt
promjena	promjene		promene	144.31	177.60	0.00	0.4483	1.0000		0.664	0	372		bs->alt
