family	bosnian_form	hr_form	sr_form	rate_bs	rate_hr	rate_sr	share_vs_hr	share_vs_sr	assoc_hr	assoc_sr	n_aligned_hr	n_aligned_sr	mined_hr	mined_sr
dodijelio	dodijelio		dodelio	9.70	9.51	0.00	0.5048	1.0000		0.520	0	25		bs->alt
dodjeljuje	dodjeljuje		dodeljuje	10.09	20.22	0.00	0.3328	1.0000		0.692	0	26		bs->alt
doktori	doktori	liječnici		28.32	0.00	18.38	1.0000	0.6064	0.959		73	0	bs->alt	
donijela	donijela		donela	31.42	37.66	0.00	0.4549	1.0000		0.506	0	81		bs->alt
donijela	donijeli		doneli	14.74	32.90	0.00	0.3094	1.0000		0.632	0	38		bs->alt
donijela	donijelo		donelo	11.64	22.60	0.00	0.3400	1.0000		0.467	0	30		bs->alt
donio	donio		doneo	38.79	57.88	0.00	0.4013	1.0000		0.440	0	100		bs->alt
doprinio	doprinijeli		doprineli	10.47	2.78	0.00	0.7906	1.0000		0.556	0	27		bs->alt
doprinio	doprinijeti	pridonijeti	doprineti	71.38	1.59	0.00	0.9783	1.0000	0.523	0.646	107	48	alt->bs	alt->bs
doprinio	doprinio		doprineo	13.19	0.79	0.00	0.9433	1.0000		0.412	0	34		bs->alt
dostigao	dostigao	dosegnuo		31.81	0.00	33.24	1.0000	0.4890	0.660		47	0	alt->bs	
downer	downer		dauner	15.91	16.65	0.00	0.4886	1.0000		1.000	0	41		bs->alt
droutsas	droutsas		drucas	20.17	21.41	0.00	0.4852	1.0000		0.981	0	52		bs->alt
dužini	dužini	duljine		15.52	0.40	2.74	0.9751	0.8501	0.410		39	0	bs->alt	
dvije	dvije		dve	740.19	583.55	0.00	0.5592	1.0000		0.897	0	1908		bs->alt
efikasnosti	efikasnosti	učinkovitosti		33.36	0.00	26.20	1.0000	0.5601	0.744		86	0	bs->alt	
ekonomijama	ekonomijama	gospodarstvima		15.52	0.40	16.42	0.9751	0.4858	0.821		39	0	bs->alt	
elektroprivredne	elektroprivredne	tvrtke		11.25	0.00	0.00	1.0000	1.0000	0.552		29	0	bs->alt	
eulex	eulex		euleks	291.34	298.51	3.91	0.4939	0.9868		0.997	0	741		bs->alt
eura	eura		evra	1421.80	1460.06	1.17	0.4934	0.9992		0.979	0	3663		bs->alt
euroatlantske	euroatlantske		evroatlantske	42.29	40.44	0.00	0.5112	1.0000		0.440	0	109		bs->alt
euroatlantske	euroatlantskih		evroatlantske	18.62	7.93	0.00	0.7014	1.0000		0.542	0	48		bs->alt
euroatlantske	euroatlantskim		evroatlantskoj	34.14	16.25	0.00	0.6775	1.0000		0.551	0	49		alt->bs
eurozone	eurozone		evrozone	83.80	88.40	0.00	0.4866	1.0000		0.889	0	216		bs->alt
eurozone	eurozoni		evrozoni	56.64	54.71	0.00	0.5087	1.0000		0.781	0	146		bs->alt
eurozone	eurozonu		evrozonu	18.62	16.65	0.00	0.5279	1.0000		0.708	0	48		bs->alt
evrope	evrope	europe		390.66	1.59	435.21	0.9960	0.4730	0.857		1003	0	bs->alt	
evrope	evropi	europi		373.20	0.79	366.78	0.9979	0.5043	0.800		960	0	bs->alt	
evropljani	evropljani	europljani		11.64	0.00	10.95	1.0000	0.5153	0.800		30	0	bs->alt	
evrope	evropom	europom		9.70	0.00	10.56	1.0000	0.4788	0.720		25	0	bs->alt	
evrope	evropska	europska		248.28	0.40	303.04	0.9984	0.4503	0.875		639	0	bs->alt	
evrope	evropske	europske		448.85	0.40	422.70	0.9991	0.5150	0.644		1156	0	bs->alt	
evrope	evropski	europski		264.19	0.40	189.65	0.9985	0.5821	0.501		679	0	bs->alt	
evrope	evropskih	europskih		192.81	0.00	138.42	1.0000	0.5821	0.489		497	0	bs->alt	
evrope	evropskim	europskim		154.40	0.00	99.32	1.0000	0.6085	0.487		398	0	bs->alt	
evrope	evropsko	europsko		26.38	0.00	27.76	1.0000	0.4872	0.721		68	0	bs->alt	
evrope	evropskog	europskog		171.86	0.40	156.02	0.9977	0.5242	0.693		443	0	bs->alt	
evrope	evropskoj	europskoj		63.23	0.00	84.46	1.0000	0.4281	0.675		163	0	bs->alt	
evrope	evropskom	europskom		117.93	0.40	126.69	0.9966	0.4821	0.667		303	0	bs->alt	
evrope	evropsku	europsku		78.36	0.00	108.71	1.0000	0.4189	0.668		202	0	bs->alt	
evrope	evropu	europu		142.37	0.00	125.13	1.0000	0.5322	0.698		367	0	bs->alt	
fakto	fakto	facto		10.86	0.00	10.95	1.0000	0.4980	0.964		28	0	bs->alt	
fakto	faktor	čimbenik		57.42	1.19	49.27	0.9797	0.5382	0.726		146	0	bs->alt	
fakto	faktora	čimbenika		41.12	0.79	39.88	0.9811	0.5076	0.750		104	0	bs->alt	
fakto	faktori	čimbenici		19.40	0.40	21.90	0.9800	0.4697	0.740		50	0	bs->alt	
februar	februar	veljače		142.37	0.00	62.56	1.0000	0.6947	0.965		367	0	bs->alt	
februar	februara	veljače		279.70	0.00	362.87	1.0000	0.4353	0.982		721	0	bs->alt	
februar	februaru	veljači		77.98	0.00	78.60	1.0000	0.4980	0.960		201	0	bs->alt	
feith	feith		fejt	24.44	25.37	0.00	0.4906	1.0000		1.000	0	63		bs->alt
finansija	finansija	financija		175.35	0.00	174.79	1.0000	0.5008	0.962		452	0	bs->alt	
finansija	finansije	financije		16.68	0.00	19.55	1.0000	0.4604	0.605		43	0	bs->alt	
finansija	finansijska	financijska		67.50	0.00	74.29	1.0000	0.4760	0.621		174	0	bs->alt	
finansija	finansijske	financijske		125.69	0.40	133.73	0.9969	0.4845	0.688		324	0	bs->alt	
finansija	finansijski	financijski		72.54	0.00	63.35	1.0000	0.5338	0.535		187	0	bs->alt	
finansija	finansijskih	financijskih		58.19	0.00	71.95	1.0000	0.4471	0.667		150	0	bs->alt	
finansija	finansijskim	financijskim		38.02	0.00	41.45	1.0000	0.4784	0.745		98	0	bs->alt	
finansija	finansijskog	financijskog		41.90	0.00	28.94	1.0000	0.5915	0.426		108	0	bs->alt	
finansija	finansijskoj	financijskoj		11.25	0.00	14.47	1.0000	0.4374	0.655		29	0	bs->alt	
finansija	finansijskom	financijskom		24.05	0.00	28.54	1.0000	0.4573	0.613		62	0	bs->alt	
finansija	finansijsku	financijsku		72.54	0.00	69.99	1.0000	0.5089	0.642		187	0	bs->alt	
finansija	finansira	financira		32.20	0.00	37.15	1.0000	0.4643	0.578		83	0	bs->alt	
finansija	finansiraju	financiraju		10.86	0.00	15.64	1.0000	0.4098	0.571		28	0	bs->alt	
finansija	finansiranja	financiranja		51.60	0.00	34.80	1.0000	0.5972	0.414		133	0	bs->alt	
finansija	finansiranje	financiranje		67.50	0.00	75.47	1.0000	0.4721	0.621		174	0	bs->alt	
finansija	finansiranju	financiranju		20.95	0.00	19.16	1.0000	0.5223	0.648		54	0	bs->alt	
finansija	finansirati	financirati		29.87	0.00	17.99	1.0000	0.6242	0.662		77	0	bs->alt	
firma	firma	tvrtka		74.10	0.40	25.81	0.9947	0.7417	0.450		191	0	bs->alt	
firma	firmama	tvrtkama		17.07	0.00	8.99	1.0000	0.6549	0.545		44	0	bs->alt	
firme	firme	tvrtke		136.94	0.00	52.79	1.0000	0.7218	0.462		353	0	bs->alt	
firmi	firmi	tvrtki		74.48	0.00	26.98	1.0000	0.7341	0.458		192	0	bs->alt	
firmom	firmom	tvrtkom		17.85	0.00	3.91	1.0000	0.8203	0.413		46	0	bs->alt	
fitch	fitch		fič	12.03	11.50	0.00	0.5113	1.0000		0.968	0	31		bs->alt
fogh	fogh		fog	12.03	13.08	0.00	0.4790	1.0000		0.903	0	31		bs->alt
fondacija	fondacija	zaklada		36.08	0.00	41.06	1.0000	0.4677	0.903		93	0	bs->alt	
fondacija	fondacije	zaklade		34.14	0.40	34.41	0.9885	0.4980	0.830		88	0	bs->alt	
foniqi	foniqi		fonići	48.88	49.95	0.00	0.4946	1.0000		0.992	0	126		bs->alt
fouere	fouere		fuer	15.52	15.86	0.00	0.4946	1.0000		1.000	0	40		bs->alt
franco	franco		franko	14.74	14.67	0.00	0.5013	1.0000		0.921	0	38		bs->alt
frattini	frattini		fratini	26.38	28.54	0.00	0.4803	1.0000		1.000	0	68		bs->alt
fried	fried		frid	25.60	26.96	0.00	0.4871	1.0000		1.000	0	66		bs->alt
fudbal	fudbal	nogomet		21.34	0.00	21.90	1.0000	0.4935	0.836		55	0	bs->alt	
fudbal	fudbala	nogometa		12.03	0.00	16.03	1.0000	0.4286	0.677		31	0	bs->alt	
fudbal	fudbalske	izbornik		19.40	0.00	20.72	1.0000	0.4835	0.419		31	0	alt->bs	
fudbalskih	fudbalskih	nogometnih		13.97	0.00	10.56	1.0000	0.5695	0.806		36	0	bs->alt	
fudbalskih	fudbalskog	nogometnog		20.95	0.00	19.94	1.0000	0.5123	0.778		54	0	bs->alt	
fudbal	fudbalu	nogometu		12.03	0.00	14.86	1.0000	0.4473	0.613		31	0	bs->alt	
fuele	fuele		fuel	34.14	32.90	0.00	0.5092	1.0000		1.000	0	29		alt->bs
fullani	fullani		fulani	12.80	13.08	0.00	0.4946	1.0000		1.000	0	33		bs->alt
funkcioniraju	funkcioniraju		funkcionišu	12.03	10.31	0.00	0.5385	1.0000		0.613	0	31		bs->alt
funkcioniraju	funkcioniranja		funkcionisanja	8.15	11.50	0.00	0.4147	1.0000		0.476	0	21		bs->alt
gaddafija	gaddafija		gadafija	20.56	5.15	0.00	0.7996	1.0000		0.830	0	53		bs->alt
garancije	garancije	jamstva		28.32	0.40	25.42	0.9862	0.5270	0.667		72	0	bs->alt	
garancije	garanciju	jamstvo		10.09	0.00	5.87	1.0000	0.6323	0.692		26	0	bs->alt	
garancije	garantira		garantuje	15.52	0.00	0.00	1.0000	1.0000		0.725	0	40		bs->alt
garancije	garantirati	jamčiti		12.41	0.00	0.00	1.0000	1.0000	0.812		32	0	bs->alt	
gasa	gasa	kubičnih		176.90	0.40	193.17	0.9978	0.4780	0.744		86	0	alt->bs	
gasna	gasna	tvrtka		8.92	0.00	3.13	1.0000	0.7404	0.435		23	0	bs->alt	
gasne	gasne	tvrtke		8.92	0.00	7.43	1.0000	0.5457	0.435		23	0	bs->alt	
gasova	gasova	plinova		8.53	0.00	10.56	1.0000	0.4470	0.864		22	0	bs->alt	
gasova	gasovodu	plinovodu		11.64	0.00	12.90	1.0000	0.4742	0.633		30	0	bs->alt	
gates	gates		gejts	22.11	24.18	0.00	0.4776	1.0000		0.982	0	57		bs->alt
gazette	gazette		gazete	8.92	9.12	0.00	0.4946	1.0000		0.913	0	23		bs->alt
gdje	gdje		gde	704.89	455.11	0.00	0.6077	1.0000		0.482	0	1817		bs->alt
generalštaba	generalštaba	stožera		37.63	0.00	49.27	1.0000	0.4330	0.918		97	0	bs->alt	
georgeom	georgeom		papandreuom	12.03	9.12	0.00	0.5688	1.0000		0.452	0	31		bs->alt
